Battery capacity (mAh),Screen size (inches),Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Price euro,Resolution ratio
4085,6.67,8,12000,256.0,48.0,16.0,758.1007008,2.1666666666666665
4000,6.5,8,6000,64.0,64.0,16.0,359.7759504,2.2222222222222223
4000,6.4,8,6000,128.0,12.0,32.0,642.351504,2.1666666666666665
3800,6.55,8,8000,128.0,48.0,16.0,448.83652800000004,2.2222222222222223
4085,6.67,8,8000,256.0,48.0,16.0,680.900304,2.1666666666666665
4300,6.8,8,12000,256.0,12.0,10.0,1024.1002704,2.111111111111111
6000,6.59,8,8000,128.0,48.0,24.0,488.2719504,2.1666666666666665
4000,6.39,8,6000,128.0,48.0,20.0,297.98222400000003,2.1666666666666665
3765,6.5,8,6000,64.0,16.0,16.0,308.261904,2.1666666666666665
3765,6.53,8,4000,128.0,48.0,16.0,192.7311504,2.1666666666666665
4000,6.39,8,6000,64.0,48.0,20.0,247.7659872,2.1666666666666665
4000,6.67,8,6000,128.0,48.0,16.0,513.919752,2.1666666666666665
4065,6.6,8,6000,128.0,48.0,16.0,475.30670399999997,2.1666666666666665
4045,6.3,8,4000,64.0,16.0,25.0,179.8815504,2.1666666666666665
4200,6.47,8,8000,256.0,40.0,32.0,697.476288,2.1666666666666665
4000,6.3,8,4000,64.0,48.0,13.0,125.9132304,2.1666666666666665
4200,6.39,8,6000,128.0,40.0,24.0,822.245904,2.1666666666666665
3300,6.4,8,6000,128.0,12.0,8.0,385.4751504,2.1666666666666665
3700,6.41,8,6000,128.0,16.0,16.0,411.1743504,2.1666666666666665
3430,6.3,8,4000,64.0,12.2,8.0,616.652304,2.0555555555555554
2915,5.5,8,4000,64.0,12.2,8.0,488.2719504,2.0
4000,6.0,8,8000,128.0,12.0,8.0,899.4591504,2.0
4000,6.4,8,6000,128.0,12.0,8.0,732.4143504,2.0555555555555554
3000,6.1,8,6000,128.0,16.0,8.0,488.2719504,2.1666666666666665
5000,5.99,8,3000,32.0,13.0,8.0,128.367504,2.0
4000,6.1,8,4000,64.0,40.0,24.0,642.351504,2.074074074074074
3300,6.28,8,6000,64.0,16.0,16.0,449.7231504,2.111111111111111
3300,6.2,8,4000,64.0,12.0,8.0,244.1295504,2.0796296296296295
4000,5.99,8,4000,64.0,12.0,20.0,120.1309104,2.0
3800,6.0,8,4000,64.0,12.0,16.0,154.1952,2.0
3500,6.2,8,6000,64.0,12.0,8.0,385.4751504,2.0555555555555554
3000,5.8,8,4000,64.0,12.0,8.0,346.9263504,2.0555555555555554
3930,6.0,8,6000,128.0,12.0,8.0,680.900304,1.7777777777777777
3300,6.3,8,6000,64.0,12.0,8.0,642.4671504,2.0555555555555554
2730,5.5,8,6000,64.0,12.0,5.0,269.8287504,1.7777777777777777
3000,5.5,8,6000,128.0,12.0,16.0,693.749904,1.7777777777777777
3090,5.3,8,4000,64.0,13.0,13.0,192.6669024,1.7777777777777777
3500,6.2,8,4000,64.0,12.0,8.0,385.488,2.0555555555555554
3000,5.8,8,4000,64.0,12.0,8.0,346.86210239999997,2.0555555555555554
3300,5.7,1,3000,32.0,13.0,5.0,308.261904,2.0
3400,5.5,4,6000,64.0,16.0,16.0,256.9791504,1.7777777777777777
4000,6.0,8,6000,64.0,16.0,16.0,218.43035039999998,1.7777777777777777
3450,5.5,4,4000,32.0,12.3,8.0,398.20910399999997,1.7777777777777777
3000,5.2,8,4000,32.0,12.0,8.0,260.1530016,1.7777777777777777
3000,5.5,4,6000,64.0,16.0,8.0,295.5279504,1.7777777777777777
3000,5.7,4,6000,256.0,23.0,8.0,578.2191504000001,1.7777777777777777
3000,5.15,4,3000,32.0,16.0,4.0,321.22715039999997,1.7777777777777777
3600,5.5,8,4000,32.0,12.0,5.0,513.9326016,1.7777777777777777
3000,5.1,8,4000,32.0,12.0,5.0,308.3775504,1.7777777777777777
3760,5.4,8,3000,32.0,21.0,5.0,89.8701024,1.7777777777777777
3450,5.7,8,3000,32.0,12.3,8.0,552.5071008,1.7777777777777777
2500,5.5,8,2000,16.0,13.0,5.0,77.033352,1.7777777777777777
3050,5.7,8,2000,32.0,16.0,5.0,93.78923040000001,1.7777777777777777
2550,5.1,8,3000,32.0,16.0,5.0,334.0767504,1.7777777777777777
2500,5.5,8,2000,16.0,13.0,5.0,51.3855504,1.7777777777777777
3100,5.5,8,2000,8.0,13.0,5.0,102.7839504,1.7777777777777777
5000,6.52,8,3000,32.0,12.0,5.0,89.9343504,2.2222222222222223
4500,6.67,8,6000,64.0,64.0,20.0,205.5807504,2.2222222222222223
4500,6.7,8,8000,128.0,48.0,32.0,513.9711503999999,2.2222222222222223
5000,6.52,8,4000,64.0,12.0,8.0,115.63355039999999,2.2222222222222223
4500,6.7,8,6000,128.0,12.0,32.0,501.1215504,2.2222222222222223
4500,6.44,8,8000,128.0,48.0,32.0,271.76904,2.2222222222222223
5000,6.53,8,4000,64.0,16.0,16.0,141.21710399999998,2.1666666666666665
5000,6.5,8,4000,64.0,48.0,13.0,128.4831504,2.2222222222222223
4000,6.4,8,4000,64.0,64.0,32.0,218.43035039999998,2.1666666666666665
4100,6.44,8,8000,128.0,48.0,32.0,336.91651199999995,2.2222222222222223
5000,6.65,8,8000,128.0,48.0,16.0,616.7679504,2.1666666666666665
6000,6.4,8,4000,64.0,48.0,16.0,167.0319504,2.1666666666666665
4500,6.38,8,4000,128.0,48.0,32.0,205.465104,2.1666666666666665
4000,6.53,8,8000,256.0,48.0,16.0,296.82576,2.1666666666666665
4000,6.4,8,4000,64.0,64.0,16.0,192.7311504,2.1666666666666665
4500,6.53,8,6000,64.0,64.0,20.0,179.8815504,2.1666666666666665
3500,6.3,8,4000,64.0,48.0,20.0,197.5882992,2.1666666666666665
4000,6.4,8,4000,128.0,48.0,32.0,213.94584,2.1666666666666665
4035,6.3,8,4000,64.0,48.0,16.0,154.1823504,2.1666666666666665
5000,6.5,8,3000,32.0,12.0,13.0,110.50656000000001,2.2222222222222223
5000,6.53,8,4000,64.0,16.0,32.0,166.916304,2.1666666666666665
4030,6.08,8,4000,64.0,48.0,32.0,152.20351200000002,2.1666666666666665
5000,6.4,8,6000,64.0,48.0,48.0,359.7759504,2.1666666666666665
3500,6.3,8,6000,128.0,32.0,16.0,216.8883984,2.1666666666666665
4000,6.3,8,3000,32.0,48.0,13.0,111.13619039999999,2.1666666666666665
3500,6.3,8,4000,128.0,48.0,25.0,175.911024,2.3333333333333335
5000,6.65,8,8000,128.0,48.0,16.0,462.57275039999996,2.1666666666666665
4020,6.53,8,4000,128.0,16.0,16.0,154.066704,2.1666666666666665
3700,6.0,8,4000,64.0,12.2,8.0,449.7231504,2.0
4500,6.7,8,6000,128.0,32.0,32.0,286.53323040000004,2.2222222222222223
4000,6.39,8,6000,128.0,48.0,20.0,385.4751504,2.1666666666666665
3700,6.41,8,6000,128.0,48.0,16.0,385.4751504,2.1666666666666665
3550,6.2,8,6000,64.0,12.0,8.0,513.855504,2.0814814814814815
3700,6.39,8,6000,128.0,48.0,32.0,230.94586080000002,2.1666666666666665
4000,6.3,8,3000,32.0,12.0,13.0,124.6282704,2.1666666666666665
4000,6.26,8,2000,16.0,12.0,8.0,94.2132672,2.111111111111111
5000,6.3,8,3000,32.0,13.0,8.0,128.4831504,2.1666666666666665
5000,6.4,8,3000,32.0,13.0,16.0,122.0583504,2.1666666666666665
4000,6.4,8,6000,128.0,48.0,25.0,322.781952,2.138888888888889
5000,6.26,8,3000,32.0,12.0,13.0,154.1823504,2.111111111111111
3000,5.6,8,4000,64.0,12.2,8.0,398.32475039999997,2.0555555555555554
3500,6.3,8,3000,32.0,13.0,25.0,115.63355039999999,2.1666666666666665
3400,6.21,8,3000,32.0,13.0,24.0,102.7839504,2.1666666666666665
3500,6.18,8,4000,64.0,12.0,20.0,231.2928,2.077777777777778
3800,6.3,8,6000,128.0,24.0,24.0,282.6912,2.0555555555555554
3600,6.41,8,4000,64.0,16.0,25.0,128.367504,2.1666666666666665
3060,5.84,8,4000,64.0,12.0,8.0,152.91024000000002,2.111111111111111
3500,6.3,8,4000,64.0,16.0,16.0,151.239792,2.1666666666666665
3260,6.3,8,4000,64.0,13.0,16.0,211.889904,2.111111111111111
3300,6.0,8,4000,64.0,24.0,24.0,211.889904,2.0555555555555554
4000,6.26,8,4000,64.0,12.0,20.0,123.099168,2.111111111111111
3400,6.41,8,6000,64.0,12.0,25.0,192.615504,2.1666666666666665
3700,6.4,8,8000,128.0,12.0,25.0,273.68363039999997,2.1666666666666665
3060,5.86,8,3000,32.0,13.0,8.0,89.9343504,2.111111111111111
3750,6.5,8,4000,64.0,20.0,16.0,128.4831504,2.1666666666666665
4000,6.18,8,6000,64.0,12.0,20.0,192.615504,2.0796296296296295
3060,5.8,8,4000,64.0,16.0,16.0,115.63355039999999,2.111111111111111
4000,6.59,8,8000,128.0,12.0,8.0,385.4751504,2.1444444444444444
3730,6.42,8,8000,256.0,16.0,25.0,759.282864,2.1666666666666665
3750,6.3,8,4000,64.0,16.0,16.0,231.4341456,2.1666666666666665
3410,6.0,8,3000,32.0,13.0,8.0,132.3380304,2.0
3000,5.99,8,4000,64.0,12.0,20.0,115.51790399999999,2.0
3400,5.84,8,6000,128.0,16.0,24.0,218.31470399999998,2.111111111111111
3400,6.23,8,4000,64.0,16.0,25.0,244.013904,2.111111111111111
3200,6.28,8,6000,64.0,12.0,12.0,235.01918400000002,2.111111111111111
3260,5.5,8,6000,128.0,12.0,5.0,179.8815504,1.7777777777777777
4000,5.65,8,3000,32.0,13.0,20.0,128.4831504,2.0
3000,5.5,8,3000,32.0,16.0,8.0,113.7061104,1.7777777777777777
3750,5.99,8,6000,128.0,16.0,13.0,204.29579040000002,2.0
4350,5.98,8,6000,128.0,12.0,16.0,204.30864,1.7777777777777777
3200,6.0,8,4000,32.0,16.0,20.0,134.9079504,2.0
3300,6.01,8,6000,64.0,16.0,16.0,366.2007504,2.0
3340,5.9,8,4000,64.0,16.0,16.0,115.63355039999999,2.0
3400,5.99,8,6000,64.0,12.0,5.0,385.4751504,2.0
4000,5.2,8,3000,32.0,13.0,8.0,89.818704,1.7777777777777777
3080,5.5,8,4000,32.0,12.0,5.0,128.4831504,1.7777777777777777
2700,5.2,8,4000,32.0,19.0,13.0,449.607504,1.7777777777777777
3300,6.0,8,4000,128.0,16.0,5.0,359.7759504,2.0
4000,5.5,10,3000,32.0,13.0,13.0,93.78923040000001,1.7777777777777777
3000,5.2,8,3000,32.0,16.0,5.0,128.4831504,1.7777777777777777
3520,6.0,8,4000,64.0,12.2,8.0,166.96770239999998,2.0
2700,5.0,8,4000,64.0,12.2,8.0,128.4189024,1.7777777777777777
3000,5.2,8,3000,32.0,12.0,16.0,160.62,1.7777777777777777
3000,5.5,8,3000,32.0,13.0,8.0,109.2216,1.7777777777777777
3300,5.7,8,2000,16.0,12.0,5.0,83.5095504,2.0
4000,5.99,8,3000,32.0,12.0,5.0,111.77867040000001,2.0
2000,2.4,2,512,4.0,2.0,0.3,16.0491504,1.3333333333333333
3300,5.7,8,4000,32.0,13.0,13.0,127.082544,1.7777777777777777
3000,5.5,8,4000,64.0,12.0,5.0,134.9079504,1.7777777777777777
3000,5.0,8,4000,32.0,13.0,8.0,76.96910399999999,1.7777777777777777
5300,6.44,8,4000,32.0,12.0,5.0,115.63355039999999,1.7777777777777777
4060,5.5,8,6000,64.0,13.0,8.0,115.63355039999999,1.7777777777777777
3300,5.5,8,6000,64.0,16.0,16.0,224.85515039999999,1.7777777777777777
5000,5.5,8,4000,64.0,12.0,13.0,346.9263504,1.7777777777777777
4000,5.7,8,6000,128.0,12.0,8.0,225.9730656,1.7777777777777777
3200,5.5,8,4000,128.0,13.0,13.0,179.8815504,1.7777777777777777
4000,6.0,8,4000,64.0,16.0,16.0,179.76590399999998,1.7777777777777777
3230,5.5,8,4000,64.0,19.0,13.0,430.4616,1.7777777777777777
3000,5.2,8,3000,16.0,12.0,5.0,140.06064,1.7777777777777777
5000,5.2,8,3000,32.0,13.0,8.0,192.7311504,1.7777777777777777
3300,5.7,1,4000,64.0,16.0,16.0,218.43035039999998,1.7777777777777777
2500,5.2,8,4000,64.0,16.0,16.0,199.1688,1.7777777777777777
3000,5.7,4,4000,64.0,12.0,16.0,702.423384,1.7777777777777777
3300,5.7,4,8000,128.0,23.0,8.0,642.4671504,1.7777777777777777
3120,5.0,4,2000,16.0,13.0,5.0,89.9343504,1.7777777777777777
4100,5.0,8,2000,16.0,13.0,5.0,115.63355039999999,1.7777777777777777
3000,5.2,8,4000,64.0,23.0,13.0,218.43035039999998,1.7777777777777777
3500,5.0,4,3000,32.0,13.0,8.0,147.75755039999999,1.7777777777777777
3200,5.7,4,4000,64.0,16.0,5.0,346.9263504,1.7777777777777777
4000,5.0,8,3000,32.0,13.0,8.0,109.2216,1.7777777777777777
2900,5.2,4,3000,64.0,23.0,13.0,154.1823504,1.7777777777777777
3300,5.5,8,3000,16.0,13.0,8.0,205.529352,1.7777777777777777
3510,5.5,8,3000,32.0,16.0,5.0,115.51790399999999,1.7777777777777777
4100,5.5,8,2000,32.0,13.0,5.0,128.367504,1.7777777777777777
4100,5.0,8,3000,32.0,13.0,5.0,102.79679999999999,1.7777777777777777
2600,5.5,4,4000,64.0,13.0,5.0,154.1823504,1.7777777777777777
3000,5.5,8,4000,64.0,16.0,8.0,192.7311504,1.7777777777777777
3000,5.5,8,4000,32.0,13.0,4.0,70.544304,1.7777777777777777
3000,5.5,8,2000,16.0,16.0,5.0,77.0847504,1.7777777777777777
2800,5.5,8,4000,64.0,13.0,5.0,109.2087504,1.7777777777777777
4850,6.44,6,3000,32.0,16.0,5.0,154.066704,1.7777777777777777
4100,5.5,4,3000,64.0,13.0,8.0,96.35915039999999,1.7777777777777777
3000,5.5,8,3000,32.0,16.0,8.0,89.9343504,1.7777777777777777
3100,5.7,4,4000,32.0,21.0,8.0,100.098384,1.7777777777777777
3000,5.2,8,3000,32.0,12.0,8.0,513.9711503999999,1.7777777777777777
2800,5.3,4,4000,32.0,16.0,8.0,141.3327504,1.7777777777777777
2500,5.0,8,3000,16.0,13.0,8.0,115.63355039999999,1.7777777777777777
2900,5.2,8,2000,16.0,13.0,5.0,256.863504,1.7777777777777777
4050,5.5,6,2000,16.0,16.0,5.0,88.64939039999999,1.7777777777777777
2150,5.0,8,3000,32.0,13.0,4.0,387.4025904,1.7777777777777777
3410,5.4,6,3000,32.0,18.0,2.0,256.9791504,1.7777777777777777
2700,5.2,6,2000,16.0,12.3,5.0,333.961104,1.7777777777777777
4900,5.5,8,2000,32.0,13.0,5.0,205.5807504,1.7777777777777777
2420,5.0,8,3000,32.0,13.0,8.0,141.21710399999998,1.7777777777777777
3000,5.7,8,4000,32.0,16.0,5.0,231.2799504,1.7777777777777777
3000,5.7,8,4000,32.0,16.0,5.0,192.7311504,1.7777777777777777
3630,5.5,8,2000,16.0,21.0,5.0,102.66830399999999,1.7777777777777777
2470,5.0,4,1000,8.0,13.0,5.0,141.3327504,1.7777777777777777
3100,5.2,8,3000,16.0,20.0,8.0,205.5807504,1.7777777777777777
3000,5.5,8,2000,16.0,13.0,13.0,192.7311504,1.7777777777777777
3000,5.5,6,3000,32.0,16.0,8.0,170.88683039999998,1.7777777777777777
3120,5.0,8,2000,16.0,13.0,5.0,167.0319504,1.7777777777777777
2900,5.5,8,2000,16.0,13.0,5.0,128.4831504,1.7777777777777777
3900,5.2,4,3000,64.0,21.0,2.0,411.1743504,1.7777777777777777
2700,5.2,8,2000,16.0,13.0,8.0,205.5807504,1.7777777777777777
2900,5.0,8,3000,32.0,16.0,8.0,125.9132304,1.7777777777777777
2600,5.1,8,3000,32.0,16.0,5.0,334.0767504,1.7777777777777777
3600,5.5,8,3000,32.0,8.0,8.0,340.5015504,1.7777777777777777
2600,5.5,8,2000,16.0,13.0,8.0,327.6648,1.7777777777777777
2600,5.0,4,2000,16.0,13.0,5.0,366.2136,1.7777777777777777
3220,5.96,4,3000,32.0,13.0,2.0,173.341104,1.7777777777777777
2400,5.2,4,2000,16.0,13.0,13.0,141.21710399999998,1.7777777777777777
3450,4.5,4,3000,32.0,13.0,2.0,205.5807504,1.0
2300,5.2,4,2000,16.0,13.0,2.0,308.3775504,1.7777777777777777
2070,5.0,4,1000,16.0,8.0,2.0,173.46959999999999,1.7777777777777777
2600,4.6,4,2000,16.0,20.7,2.2,501.005904,1.7777777777777777
3220,5.7,4,3000,32.0,16.0,3.7,358.50384,1.7777777777777777
3000,5.6,4,3000,32.0,16.0,3.7,384.84552,1.6
3080,5.0,4,3000,16.0,13.0,8.0,102.6297552,1.7777777777777777
4000,6.0,4,3000,32.0,16.0,5.0,385.4751504,1.7777777777777777
3100,5.5,4,3000,16.0,13.0,5.0,282.6783504,1.7777777777777777
2800,5.1,8,2000,16.0,16.0,2.0,436.8735504,1.7777777777777777
3200,5.2,4,3000,16.0,20.7,2.2,462.45710399999996,1.7777777777777777
2300,4.3,4,2000,16.0,20.7,2.0,154.1823504,1.7777777777777777
2500,5.5,4,2000,16.0,16.0,8.0,47.5306704,1.7777777777777777
2600,5.2,4,1000,8.0,8.0,1.9,205.5807504,1.7777777777777777
2070,4.5,4,1000,8.0,5.0,1.3,128.4831504,1.7777777777777777
2300,4.95,4,2000,16.0,8.0,1.3,154.1952,1.7777777777777777
3400,6.0,4,2000,32.0,20.0,1.2,449.607504,1.7777777777777777
3050,5.0,4,2000,16.0,13.0,2.0,179.8815504,1.7777777777777777
3200,5.7,8,3000,32.0,13.0,2.0,650.8322400000001,1.7777777777777777
3000,5.0,1,2000,16.0,20.7,2.0,728.5594704,1.7777777777777777
3000,5.2,4,2000,16.0,13.0,2.1,289.1031504,1.7777777777777777
2200,4.7,2,2000,16.0,10.0,2.0,192.744,1.7777777777777777
2330,5.0,4,2000,16.0,13.1,2.2,417.483504,1.7777777777777777
2100,4.8,4,1000,16.0,8.0,1.9,77.0847504,1.7777777777777777
2600,5.0,8,2000,16.0,13.0,2.0,744.184584,1.7777777777777777
2000,4.5,2,1000,32.0,8.7,1.3,115.63355039999999,1.6666666666666667
4000,6.4,8,8000,128.0,48.0,16.0,240.159024,2.2222222222222223
4500,6.38,8,8000,128.0,48.0,32.0,238.9897104,2.1666666666666665
4000,6.3,8,4000,64.0,48.0,25.0,167.0319504,2.111111111111111
4000,6.2,8,4000,64.0,13.0,8.0,115.63355039999999,2.111111111111111
5000,6.35,8,3000,32.0,13.0,8.0,115.51790399999999,2.1444444444444444
5000,6.22,8,2000,32.0,12.0,8.0,83.5095504,2.111111111111111
5000,6.5,8,4000,128.0,48.0,16.0,189.27460799999997,2.2222222222222223
4000,6.4,8,3000,32.0,13.0,8.0,109.2087504,2.111111111111111
5000,6.52,8,4000,64.0,13.0,8.0,102.79679999999999,2.2222222222222223
4000,6.3,8,3000,32.0,48.0,13.0,118.152072,2.111111111111111
5000,6.22,8,4000,64.0,12.0,8.0,102.7839504,2.111111111111111
4230,6.2,8,3000,32.0,13.0,13.0,89.9343504,2.111111111111111
4000,6.19,8,4000,64.0,13.0,13.0,128.367504,2.0833333333333335
4000,6.59,8,4000,128.0,48.0,16.0,179.8815504,2.1666666666666665
3500,6.3,8,4000,128.0,12.0,12.0,128.4831504,2.3333333333333335
4000,6.26,8,3000,32.0,13.0,16.0,109.2087504,2.111111111111111
4000,6.19,8,6000,64.0,13.0,13.0,141.3327504,2.0833333333333335
4000,5.45,8,2000,16.0,12.0,5.0,70.6599504,2.0
4000,6.21,8,3000,32.0,13.0,32.0,102.7839504,2.111111111111111
5000,6.35,8,4000,128.0,13.0,20.0,147.64190399999998,2.1444444444444444
3500,6.21,4,2000,32.0,13.0,8.0,89.9343504,2.111111111111111
4000,6.1,8,2000,32.0,8.0,5.0,85.706832,2.1666666666666665
4230,6.2,8,2000,32.0,13.0,8.0,101.961576,0.47368421052631576
4000,6.26,8,3000,32.0,12.0,32.0,102.7839504,2.111111111111111
4000,6.1,8,2000,16.0,13.0,5.0,77.0847504,2.1666666666666665
3400,6.21,8,4000,128.0,24.0,32.0,141.3327504,2.1666666666666665
4500,6.38,8,4000,128.0,16.0,32.0,192.4741584,2.1666666666666665
4230,6.2,8,3000,32.0,13.0,13.0,109.093104,2.111111111111111
4000,6.53,8,6000,64.0,12.0,32.0,192.615504,2.1666666666666665
3000,5.0,4,1000,8.0,8.0,5.0,57.8103504,1.7777777777777777
3010,6.0,8,8000,128.0,12.0,20.0,256.863504,2.0
4000,6.26,8,3000,32.0,13.0,8.0,96.35915039999999,2.111111111111111
4000,5.93,8,4000,64.0,16.0,16.0,205.5807504,2.0
4000,6.2,8,3000,32.0,13.0,16.0,141.3327504,2.0833333333333335
3000,5.45,8,2000,16.0,13.0,5.0,64.2351504,2.0
4000,5.45,8,3000,32.0,13.0,8.0,77.0847504,2.0
3000,5.7,8,3000,32.0,13.0,13.0,75.79979039999999,2.0
3500,6.0,8,3000,32.0,13.0,8.0,88.01976,2.0
4000,6.26,8,4000,32.0,13.0,8.0,102.7839504,2.111111111111111
3000,6.18,8,6000,128.0,16.0,16.0,385.4751504,2.0796296296296295
4230,6.2,8,2000,16.0,13.0,5.0,102.66830399999999,2.111111111111111
3000,4.5,8,4000,64.0,13.0,8.0,295.412304,1.5
4230,6.2,8,3000,32.0,13.0,8.0,114.232944,2.111111111111111
4500,5.99,8,3000,32.0,12.0,16.0,75.17016,2.0
3500,6.3,8,6000,64.0,16.0,25.0,231.164304,2.1666666666666665
3500,6.3,8,4000,64.0,16.0,16.0,154.1181024,2.1666666666666665
3000,5.84,8,3000,32.0,13.0,16.0,96.35915039999999,2.111111111111111
3340,6.3,8,4000,128.0,16.0,24.0,282.6783504,2.1666666666666665
3750,6.3,8,6000,128.0,16.0,24.0,205.5807504,2.1666666666666665
4000,5.84,8,3000,32.0,12.0,5.0,106.523184,2.111111111111111
3000,5.45,4,2000,16.0,13.0,5.0,73.22987040000001,2.0
3080,5.99,8,3000,32.0,12.0,16.0,102.7839504,2.0
3750,6.0,8,4000,64.0,16.0,20.0,95.344032,2.0
3000,5.45,8,3000,32.0,12.0,5.0,92.260128,2.0
3500,6.0,8,4000,64.0,16.0,16.0,199.1559504,2.0
3000,5.6,8,3000,32.0,13.0,8.0,121.94270399999999,2.0555555555555554
3500,6.0,8,4000,64.0,16.0,24.0,205.5807504,2.0555555555555554
5000,6.0,8,3000,32.0,12.0,5.0,120.7733904,2.0
3800,6.0,8,8000,128.0,24.0,8.0,319.441056,2.0
4000,5.7,8,4000,64.0,13.0,13.0,102.66830399999999,2.0
3000,5.65,4,3000,16.0,13.0,13.0,108.964608,2.0
3000,5.84,8,4000,64.0,16.0,24.0,164.47487999999998,2.111111111111111
3260,6.3,8,4000,64.0,16.0,24.0,176.553504,2.111111111111111
4000,5.7,8,3000,32.0,13.0,8.0,103.4264304,2.0
3000,5.99,8,3000,32.0,13.0,8.0,100.21403040000001,2.0
3000,5.7,8,3000,32.0,12.0,16.0,134.9079504,2.0
5000,5.2,8,3000,32.0,13.0,5.0,134.92079999999999,1.7777777777777777
3180,5.7,8,2000,16.0,13.0,8.0,87.3644304,2.0
3000,5.65,8,3000,32.0,13.0,13.0,114.73407839999999,2.0
3500,5.2,4,2000,16.0,13.0,5.0,64.2351504,1.7777777777777777
4000,5.7,4,2000,16.0,13.0,8.0,88.01976,2.0
3500,6.0,8,6000,64.0,16.0,16.0,217.15824,2.0555555555555554
3030,5.7,8,4000,32.0,13.0,16.0,81.1966224,2.0
3000,5.7,8,4000,32.0,16.0,24.0,179.76590399999998,2.0
3080,5.5,8,2000,16.0,13.0,16.0,109.093104,1.7777777777777777
3000,5.0,4,2000,16.0,13.0,5.0,92.50427040000001,1.7777777777777777
3340,5.93,8,4000,32.0,16.0,8.0,163.47261120000002,2.0
3020,5.0,8,3000,32.0,13.0,5.0,109.2087504,1.7777777777777777
5000,6.0,8,4000,64.0,13.0,8.0,114.232944,2.0
3225,5.99,8,4000,64.0,16.0,24.0,141.21710399999998,2.0
3000,5.5,8,4000,64.0,16.0,12.0,334.0767504,1.7777777777777777
3000,5.5,8,3000,32.0,13.0,5.0,114.9782208,2.0
3200,5.5,8,4000,64.0,13.0,16.0,154.066704,1.7777777777777777
3000,5.5,8,4000,32.0,13.0,5.0,77.0847504,1.7777777777777777
3000,5.5,8,4000,64.0,13.0,20.0,166.916304,1.7777777777777777
4000,5.0,4,2000,16.0,8.0,5.0,70.6599504,1.7777777777777777
3020,5.5,8,4000,32.0,13.0,8.0,154.1952,1.7777777777777777
3630,5.5,8,4000,64.0,13.0,16.0,166.916304,1.7777777777777777
3800,4.7,8,2000,16.0,13.0,5.0,513.9711503999999,1.7777777777777777
2500,5.0,4,3000,16.0,13.0,8.0,55.124784000000005,1.7777777777777777
4010,5.5,8,4000,64.0,13.0,16.0,128.4831504,1.7777777777777777
2700,6.0,8,4000,64.0,23.0,16.0,77.0205024,1.7777777777777777
2900,5.2,4,4000,32.0,19.0,13.0,385.35950399999996,1.7777777777777777
4550,6.0,8,4000,64.0,13.0,20.0,12.7725024,1.7777777777777777
2800,5.0,8,2000,16.0,13.0,5.0,70.03032,1.7777777777777777
3000,5.2,8,4000,64.0,12.0,8.0,191.8830768,1.7777777777777777
